"Month","Type","Number","Title","Type2","URL"
1986-05-31,"Law","Ley 15816","DESAFECTACION DE BIEN INMUEBLE. TACUAREMBO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15816-1986"
1986-05-31,"Law","Ley 15815","DENOMINACION DE LICEO PUBLICO. LOCALIDAD DE EL DORADO. CANELONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15815-1986"
1986-05-31,"Law","Ley 15814","DENOMINACION DE ESCUELA PUBLICA N° 58. CANELONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15814-1986"
1986-05-31,"Law","Ley 15813","DENOMINACION DE ESCUELA PUBLICA N° 271. MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15813-1986"
1986-06-30,"Law","Ley 15818","ARRENDAMIENTOS URBANOS Y SUBURBANOS - LANZAMIENTOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15818-1986"
1986-06-30,"Law","Ley 15817","OTORGAMIENTO DE PENSION GRACIABLE. ELISA DELEPIANE DE MICHELINI. MATILDE RODRIGUEZ LARRETA DE GUTIERREZ RUIZ","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15817-1986"
1986-07-31,"Law","Ley 15819","PATRIMONIO HISTORICO NACIONAL - COLONIA DEL SACRAMENTO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15819-1986"
1986-08-31,"Law","Ley 15822","DESAFECTACION DE BIEN INMUEBLE. MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15822-1986"
1986-08-31,"Law","Ley 15821","MODIFICACION AL CODIGO CIVIL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15821-1986"
1986-08-31,"Law","Ley 15820","SALUD PUBLICA - INSTITUCIONES DE ASISTENCIA MEDICA COLECTIVA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15820-1986"
1986-09-30,"Law","Ley 15831","APROBACION DE ACUERDO INTERNACIONAL - INTERCAMBIO CULTURAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15831-1986"
1986-09-30,"Law","Ley 15830","APROBACION DE ACUERDO INTERNACIONAL - PRIVILEGIOS E INMUNIDADES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15830-1986"
1986-09-30,"Law","Ley 15829","DENOMINACION DE ESCUELA PUBLICA Nº 43. YOUNG. RIO NEGRO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15829-1986"
